date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:20	62/62	---MCZ	200	added ('OK')	text/plain	etag:%2264513-15730311-1554499977000%22	https://hastebin.com/robots.txt		(from )
15:13:20	2043/2043	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Apr%202019%2021:32:57%20GMT	https://hastebin.com/	C:/Users/Burak/Desktop/EndlessLove/hastebin.com/index.html	(from )
15:13:21	778/778	---MCZ	200	added ('OK')	text/css	etag:W/%2264513-18744882-1554499977000%22	https://hastebin.com/solarized_dark.css	C:/Users/Burak/Desktop/EndlessLove/hastebin.com/solarized_dark.css	(from https://hastebin.com/)
15:13:21	2508/2508	---MCZ	200	added ('OK')	text/css	etag:W/%2264513-22422905-1554499977000%22	https://hastebin.com/application.css	C:/Users/Burak/Desktop/EndlessLove/hastebin.com/application.css	(from https://hastebin.com/)
15:13:21	93868/93868	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	C:/Users/Burak/Desktop/EndlessLove/ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	(from https://hastebin.com/)
15:13:21	46003/46003	---M-Z	200	added ('OK')	application/javascript	etag:%2264513-9986208-1554499977000%22	https://hastebin.com/highlight.min.js	C:/Users/Burak/Desktop/EndlessLove/hastebin.com/highlight.min.js	(from https://hastebin.com/)
15:13:22	6256/6256	---M-Z	200	added ('OK')	application/javascript	etag:%2264513-15730308-1560377514684%22	https://hastebin.com/application.min.js	C:/Users/Burak/Desktop/EndlessLove/hastebin.com/application.min.js	(from https://hastebin.com/)
15:13:22	4714/4714	---MCZ	200	added ('OK')	image/png	etag:%2264513-22422906-1554499977000%22	https://hastebin.com/logo.png	C:/Users/Burak/Desktop/EndlessLove/hastebin.com/logo.png	(from https://hastebin.com/application.css)
15:13:22	6237/6237	---MCZ	200	added ('OK')	image/png	etag:%2264513-12993077-1554499977000%22	https://hastebin.com/function-icons.png	C:/Users/Burak/Desktop/EndlessLove/hastebin.com/function-icons.png	(from https://hastebin.com/application.css)
15:13:23	2869/2869	---MCZ	200	added ('OK')	image/png	etag:%2264513-22422903-1554499977000%22	https://hastebin.com/hover-dropdown-tip.png	C:/Users/Burak/Desktop/EndlessLove/hastebin.com/hover-dropdown-tip.png	(from https://hastebin.com/application.css)
